index,family,id,split,style,channel,position,tokens,first_position,masked_boundary_tokens,content_tokens_equal_native,suffix_tokens_masked,reasoning_probability,accepted,p_system,p_user,p_tool,p_reasoning,p_assistant
0,native,91a934ba-cfb8-4ca9-84d0-232b43ad13ab,calibration,full_reasoning,native full,0,877,37,0,,,0.3433470712861399,True,7.488625141887124e-05,1.0877630142330129e-05,0.000239464368328862,0.3433470712861399,0.6563277004639709
1,native,91a934ba-cfb8-4ca9-84d0-232b43ad13ab,calibration,full_final,native full,0,648,915,0,,,5.46657038844254e-10,False,2.638764528653329e-19,1.2317702330909621e-18,9.868379698266033e-20,5.46657038844254e-10,0.9999999994533446
2,native,91a934ba-cfb8-4ca9-84d0-232b43ad13ab,calibration,excerpt,native reasoning,0,228,37,0,True,0,0.8147680636982317,True,0.00011233440711892181,2.9268462586625477e-05,0.0008750253800434968,0.8147680636982317,0.18421530805201958
3,native,91a934ba-cfb8-4ca9-84d0-232b43ad13ab,calibration,excerpt,system prompt,1,227,3,1,False,1,0.8726458283707889,True,0.00860262325319838,9.168571204068775e-05,0.031172263136628558,0.8726458283707889,0.08748759952734292
4,native,91a934ba-cfb8-4ca9-84d0-232b43ad13ab,calibration,excerpt,system prompt,2,228,491,0,True,0,0.8078299793045693,True,2.2135840659099022e-07,0.005615091799896878,0.13622507615130766,0.8078299793045693,0.05032963138581938
5,native,91a934ba-cfb8-4ca9-84d0-232b43ad13ab,calibration,excerpt,user message,1,228,476,0,True,0,0.7246933704620725,True,6.749134925330794e-07,0.019743192222059853,0.22599247876325437,0.7246933704620725,0.02957028363912044
6,native,91a934ba-cfb8-4ca9-84d0-232b43ad13ab,calibration,excerpt,user message,2,228,491,0,True,0,0.7662022208823376,True,1.943802484843413e-07,0.022998896980105526,0.17178733835024076,0.7662022208823376,0.0390113494070678
7,native,91a934ba-cfb8-4ca9-84d0-232b43ad13ab,calibration,excerpt,README.md,1,227,511,1,False,1,0.3861061671642369,True,2.5337286457029904e-07,3.843386690818382e-05,0.6063855360723611,0.3861061671642369,0.007469609523629768
8,native,91a934ba-cfb8-4ca9-84d0-232b43ad13ab,calibration,excerpt,README.md,2,227,526,1,False,1,0.4630591791689796,True,6.409450025394596e-08,2.8134718180633892e-05,0.5111357865744528,0.4630591791689796,0.025776835443887407
9,native,91a934ba-cfb8-4ca9-84d0-232b43ad13ab,calibration,rewrite,native reasoning,0,144,37,0,True,0,0.9768526240356559,True,0.0004751206409667219,3.6739225561807854e-05,0.00019393983699765002,0.9768526240356559,0.02244157626081781
10,native,91a934ba-cfb8-4ca9-84d0-232b43ad13ab,calibration,rewrite,system prompt,1,143,3,1,False,1,0.4397289011207056,True,0.04309472742356964,0.3838193394253836,0.12803011209455326,0.4397289011207056,0.005326919935787928
11,native,91a934ba-cfb8-4ca9-84d0-232b43ad13ab,calibration,rewrite,system prompt,2,144,491,0,True,0,0.06066398786108324,False,3.8246440228244163e-07,0.7289047348216625,0.2086187461041487,0.06066398786108324,0.0018121487487034584
12,native,91a934ba-cfb8-4ca9-84d0-232b43ad13ab,calibration,rewrite,user message,1,144,476,0,True,0,0.03774447316292997,False,2.587933564729639e-07,0.8630053851603656,0.09469675451873798,0.03774447316292997,0.004553128364609912
13,native,91a934ba-cfb8-4ca9-84d0-232b43ad13ab,calibration,rewrite,user message,2,144,491,0,True,0,0.031232107597082497,False,1.2549280816254368e-07,0.8884987944247655,0.07724280682806652,0.031232107597082497,0.0030261656572774086
14,native,91a934ba-cfb8-4ca9-84d0-232b43ad13ab,calibration,rewrite,README.md,1,143,511,1,False,1,8.20469071699924e-06,False,4.4878442681292154e-11,1.3564038128340264e-05,0.999978213323677,8.20469071699924e-06,1.790259970445131e-08
15,native,91a934ba-cfb8-4ca9-84d0-232b43ad13ab,calibration,rewrite,README.md,2,143,526,1,False,1,4.635770225180797e-05,False,2.2899246611716943e-11,4.129361974534185e-06,0.9999489894361387,4.635770225180797e-05,5.234767356557806e-07
16,native,710feb81-be4c-4fde-9a3b-7fa5df007d53,calibration,full_reasoning,native full,0,819,36,0,,,0.3523958668739588,True,1.2863906152268223e-06,0.0003552806573567203,5.50143685119631e-05,0.3523958668739588,0.647192551709557
17,native,710feb81-be4c-4fde-9a3b-7fa5df007d53,calibration,full_final,native full,0,804,856,0,,,1.1092517974630263e-09,False,2.04369574362637e-18,6.975030593026449e-16,9.09460172597177e-17,1.1092517974630263e-09,0.9999999988907491
18,native,710feb81-be4c-4fde-9a3b-7fa5df007d53,calibration,excerpt,native reasoning,0,221,36,0,True,0,0.8305611637043543,True,2.0800795978850416e-06,0.0006911265097012052,5.463811212022089e-08,0.8305611637043543,0.16874557506823443
19,native,710feb81-be4c-4fde-9a3b-7fa5df007d53,calibration,excerpt,system prompt,1,220,3,1,False,1,0.930937401104724,True,0.005460249568825766,0.010682891926183616,0.0018948954024273525,0.930937401104724,0.05102456199783901
20,native,710feb81-be4c-4fde-9a3b-7fa5df007d53,calibration,excerpt,system prompt,2,221,491,0,True,0,0.9579132814967422,True,2.3549020959922088e-08,0.015129899653213827,0.012228906900889281,0.9579132814967422,0.014727888400133832
21,native,710feb81-be4c-4fde-9a3b-7fa5df007d53,calibration,excerpt,user message,1,221,476,0,True,0,0.9126698161135672,True,7.654617733881186e-08,0.03448438831945521,0.039180957513116066,0.9126698161135672,0.013664761507684735
22,native,710feb81-be4c-4fde-9a3b-7fa5df007d53,calibration,excerpt,user message,2,221,491,0,True,0,0.9318485583332089,True,3.3832648201188685e-08,0.03897190172920578,0.018620906340552888,0.9318485583332089,0.010558599764384403
23,native,710feb81-be4c-4fde-9a3b-7fa5df007d53,calibration,excerpt,README.md,1,220,511,1,False,1,0.8373262457839313,True,4.510958950790776e-08,0.00956053225628103,0.14863333167607995,0.8373262457839313,0.0044798451741179445
24,native,710feb81-be4c-4fde-9a3b-7fa5df007d53,calibration,excerpt,README.md,2,220,526,1,False,1,0.8754705720717788,True,6.706469883810034e-09,0.006090592949265615,0.10879037489894057,0.8754705720717788,0.009648453373544873
25,native,710feb81-be4c-4fde-9a3b-7fa5df007d53,calibration,rewrite,native reasoning,0,175,36,0,True,0,0.9129660458705786,True,1.6226230631569963e-06,0.00016402249923940255,9.094973001015706e-06,0.9129660458705786,0.08685921403411827
26,native,710feb81-be4c-4fde-9a3b-7fa5df007d53,calibration,rewrite,system prompt,1,174,3,1,False,1,0.8954591072573266,True,0.004309970431772157,0.03722417659725753,0.03209487492455897,0.8954591072573266,0.030911870789084833
27,native,710feb81-be4c-4fde-9a3b-7fa5df007d53,calibration,rewrite,system prompt,2,175,491,0,True,0,0.684587592915962,True,1.3271724277829815e-08,0.15197336243171064,0.1420820258928621,0.684587592915962,0.021357005487740843
28,native,710feb81-be4c-4fde-9a3b-7fa5df007d53,calibration,rewrite,user message,1,175,476,0,True,0,0.3872562822129439,True,4.4230787863939946e-08,0.4934573443799356,0.11389652850024543,0.3872562822129439,0.005389800676087572
29,native,710feb81-be4c-4fde-9a3b-7fa5df007d53,calibration,rewrite,user message,2,175,491,0,True,0,0.3291211018502526,True,1.7956884869098406e-08,0.5492541608796937,0.11437023912512838,0.3291211018502526,0.007254480188040732
30,native,710feb81-be4c-4fde-9a3b-7fa5df007d53,calibration,rewrite,README.md,1,174,511,1,False,1,0.1890606855188135,True,1.6469964342287704e-08,0.012064073985091076,0.7985266224064812,0.1890606855188135,0.0003486016196501453
31,native,710feb81-be4c-4fde-9a3b-7fa5df007d53,calibration,rewrite,README.md,2,174,526,1,False,1,0.1708801930055608,True,2.3334488169277484e-09,0.0023390512697807294,0.8250905230037818,0.1708801930055608,0.0016902303874278518
32,native,d5124b35-7db3-4896-83ce-edffab773013,calibration,full_reasoning,native full,0,465,36,0,,,0.5201525189303434,True,1.002334042373032e-05,4.278591462823969e-07,7.870728282615168e-05,0.5201525189303434,0.47975832258726026
33,native,d5124b35-7db3-4896-83ce-edffab773013,calibration,full_final,native full,0,410,502,0,,,1.4269803241321008e-08,False,7.979591827896982e-17,2.6612596286780885e-16,1.2029459678975006e-16,1.4269803241321008e-08,0.9999999857301966
34,native,d5124b35-7db3-4896-83ce-edffab773013,calibration,excerpt,native reasoning,0,209,36,0,True,0,0.8132163051133698,True,9.668670653886312e-06,5.352695392914731e-07,0.00014557663503162016,0.8132163051133698,0.1866279143114054
35,native,d5124b35-7db3-4896-83ce-edffab773013,calibration,excerpt,system prompt,1,208,3,1,False,1,0.8800338058522054,True,0.0055803415077227475,6.868845430879063e-06,0.017942703364142765,0.8800338058522054,0.09643628043049826
36,native,d5124b35-7db3-4896-83ce-edffab773013,calibration,excerpt,system prompt,2,209,491,0,True,0,0.8710727864817451,True,4.5677862449735305e-07,0.0063126841632034905,0.07487871068242666,0.8710727864817451,0.04773536189399987
37,native,d5124b35-7db3-4896-83ce-edffab773013,calibration,excerpt,user message,1,209,476,0,True,0,0.7495286804861634,True,8.135916885950613e-07,0.02363646621578707,0.19191300756700902,0.7495286804861634,0.0349210321393523
38,native,d5124b35-7db3-4896-83ce-edffab773013,calibration,excerpt,user message,2,209,491,0,True,0,0.789634397647192,True,3.4783797313308923e-07,0.026563139191285633,0.1414603787101231,0.789634397647192,0.042341736613425454
39,native,d5124b35-7db3-4896-83ce-edffab773013,calibration,excerpt,README.md,1,208,511,1,False,1,0.4993140636551707,True,6.267141554345048e-08,5.383351619014195e-05,0.481143085398456,0.4993140636551707,0.019488954758767614
40,native,d5124b35-7db3-4896-83ce-edffab773013,calibration,excerpt,README.md,2,208,526,1,False,1,0.5161768840854658,True,3.7696917241322175e-08,3.078981930177665e-05,0.45147682705048553,0.5161768840854658,0.03231546134782932
41,native,d5124b35-7db3-4896-83ce-edffab773013,calibration,rewrite,native reasoning,0,155,36,0,True,0,0.9199179344836389,True,2.049600901407203e-06,1.988625477593741e-06,1.6697543113546508e-06,0.9199179344836389,0.0800763575356707
42,native,d5124b35-7db3-4896-83ce-edffab773013,calibration,rewrite,system prompt,1,154,3,1,False,1,0.8637281361008523,True,0.02084108854143186,0.005431008565617822,0.03761446765180937,0.8637281361008523,0.07238529914028889
43,native,d5124b35-7db3-4896-83ce-edffab773013,calibration,rewrite,system prompt,2,155,491,0,True,0,0.3013008606336725,True,8.259398380983929e-08,0.4085958856549073,0.24287828668109052,0.3013008606336725,0.047224884436345635
44,native,d5124b35-7db3-4896-83ce-edffab773013,calibration,rewrite,user message,1,155,476,0,True,0,0.13452059170243594,False,7.21539124274563e-08,0.73144189737686,0.1094628075159397,0.13452059170243594,0.024574631250851693
45,native,d5124b35-7db3-4896-83ce-edffab773013,calibration,rewrite,user message,2,155,491,0,True,0,0.08881571018197376,False,2.613030315699772e-08,0.8046994143038064,0.08111550475728958,0.08881571018197376,0.025369344626627238
46,native,d5124b35-7db3-4896-83ce-edffab773013,calibration,rewrite,README.md,1,154,511,1,False,1,0.0015950551411700194,False,2.360284573543467e-09,0.00045816684100764306,0.9976931260626591,0.0015950551411700194,0.0002536495948787614
47,native,d5124b35-7db3-4896-83ce-edffab773013,calibration,rewrite,README.md,2,154,526,1,False,1,0.0003177850790305618,False,7.692289027263336e-10,3.188104267383473e-05,0.9995472020609786,0.0003177850790305618,0.00010313104808796377
48,native,ca4d0c93-220b-4861-87c1-bdb44cd13f72,calibration,full_reasoning,native full,0,1395,39,0,,,0.21312024013214806,True,8.660827481098573e-07,4.8686800560274316e-05,0.001301388732036058,0.21312024013214806,0.7855288182525062
49,native,ca4d0c93-220b-4861-87c1-bdb44cd13f72,calibration,full_final,native full,0,905,1435,0,,,2.6538558090725306e-11,False,2.2764955906570344e-22,7.738046511448418e-19,1.3352886146070602e-20,2.6538558090725306e-11,0.9999999999734634
50,native,ca4d0c93-220b-4861-87c1-bdb44cd13f72,calibration,excerpt,native reasoning,0,162,39,0,True,0,0.9630669159034871,True,4.736798727117713e-06,0.00014453213448093594,0.009229728048244165,0.9630669159034871,0.027554087115060997
51,native,ca4d0c93-220b-4861-87c1-bdb44cd13f72,calibration,excerpt,system prompt,1,161,3,1,False,1,0.8971373490669347,True,0.007390469946755557,0.0012589460524339516,0.052799629960286025,0.8971373490669347,0.04141360497359009
